Source,Relation,Target
ApplicationService,FlowRelationship,ApplicationProcess
ApplicationService,AssociationRelationship,ApplicationProcess
ApplicationService,TriggeringRelationship,ApplicationProcess
ApplicationService,ServingRelationship,ApplicationProcess
ApplicationService,FlowRelationship,ApplicationFunction
ApplicationService,AssociationRelationship,ApplicationFunction
ApplicationService,TriggeringRelationship,ApplicationFunction
ApplicationService,ServingRelationship,ApplicationFunction
ApplicationService,FlowRelationship,ApplicationInteraction
ApplicationService,AssociationRelationship,ApplicationInteraction
ApplicationService,TriggeringRelationship,ApplicationInteraction
ApplicationService,ServingRelationship,ApplicationInteraction
ApplicationService,FlowRelationship,ApplicationEvent
ApplicationService,AssociationRelationship,ApplicationEvent
ApplicationService,TriggeringRelationship,ApplicationEvent
ApplicationService,ServingRelationship,ApplicationEvent
ApplicationService,CompositionRelationship,ApplicationService
ApplicationService,FlowRelationship,ApplicationService
ApplicationService,AggregationRelationship,ApplicationService
ApplicationService,AssociationRelationship,ApplicationService
ApplicationService,SpecializationRelationship,ApplicationService
ApplicationService,TriggeringRelationship,ApplicationService
ApplicationService,ServingRelationship,ApplicationService
ApplicationService,AccessRelationship,DataObject
ApplicationService,AssociationRelationship,DataObject
ApplicationService,FlowRelationship,ApplicationComponent
ApplicationService,AssociationRelationship,ApplicationComponent
ApplicationService,TriggeringRelationship,ApplicationComponent
ApplicationService,ServingRelationship,ApplicationComponent
ApplicationService,FlowRelationship,ApplicationCollaboration
ApplicationService,AssociationRelationship,ApplicationCollaboration
ApplicationService,TriggeringRelationship,ApplicationCollaboration
ApplicationService,ServingRelationship,ApplicationCollaboration
ApplicationInterface,FlowRelationship,ApplicationService
ApplicationInterface,AssignmentRelationship,ApplicationService
ApplicationInterface,AssociationRelationship,ApplicationService
ApplicationInterface,TriggeringRelationship,ApplicationService
ApplicationInterface,ServingRelationship,ApplicationService
ApplicationInterface,FlowRelationship,ApplicationComponent
ApplicationInterface,AssociationRelationship,ApplicationComponent
ApplicationInterface,TriggeringRelationship,ApplicationComponent
ApplicationInterface,ServingRelationship,ApplicationComponent
ApplicationInterface,FlowRelationship,ApplicationCollaboration
ApplicationInterface,AssociationRelationship,ApplicationCollaboration
ApplicationInterface,TriggeringRelationship,ApplicationCollaboration
ApplicationInterface,ServingRelationship,ApplicationCollaboration
ApplicationComponent,FlowRelationship,ApplicationService
ApplicationComponent,AssignmentRelationship,ApplicationService
ApplicationComponent,AssociationRelationship,ApplicationService
ApplicationComponent,RealizationRelationship,ApplicationService
ApplicationComponent,TriggeringRelationship,ApplicationService
ApplicationComponent,ServingRelationship,ApplicationService
ApplicationComponent,FlowRelationship,ApplicationProcess
ApplicationComponent,AssignmentRelationship,ApplicationProcess
ApplicationComponent,AssociationRelationship,ApplicationProcess
ApplicationComponent,RealizationRelationship,ApplicationProcess
ApplicationComponent,TriggeringRelationship,ApplicationProcess
ApplicationComponent,ServingRelationship,ApplicationProcess
ApplicationComponent,FlowRelationship,ApplicationFunction
ApplicationComponent,AssignmentRelationship,ApplicationFunction
ApplicationComponent,AssociationRelationship,ApplicationFunction
ApplicationComponent,RealizationRelationship,ApplicationFunction
ApplicationComponent,TriggeringRelationship,ApplicationFunction
ApplicationComponent,ServingRelationship,ApplicationFunction
ApplicationComponent,FlowRelationship,ApplicationInteraction
ApplicationComponent,AssignmentRelationship,ApplicationInteraction
ApplicationComponent,AssociationRelationship,ApplicationInteraction
ApplicationComponent,RealizationRelationship,ApplicationInteraction
ApplicationComponent,TriggeringRelationship,ApplicationInteraction
ApplicationComponent,ServingRelationship,ApplicationInteraction
ApplicationComponent,FlowRelationship,ApplicationEvent
ApplicationComponent,AssignmentRelationship,ApplicationEvent
ApplicationComponent,AssociationRelationship,ApplicationEvent
ApplicationComponent,RealizationRelationship,ApplicationEvent
ApplicationComponent,TriggeringRelationship,ApplicationEvent
ApplicationComponent,ServingRelationship,ApplicationEvent
ApplicationCollaboration,FlowRelationship,ApplicationService
ApplicationCollaboration,AssignmentRelationship,ApplicationService
ApplicationCollaboration,AssociationRelationship,ApplicationService
ApplicationCollaboration,RealizationRelationship,ApplicationService
ApplicationCollaboration,TriggeringRelationship,ApplicationService
ApplicationCollaboration,ServingRelationship,ApplicationService
ApplicationCollaboration,FlowRelationship,ApplicationProcess
ApplicationCollaboration,AssignmentRelationship,ApplicationProcess
ApplicationCollaboration,AssociationRelationship,ApplicationProcess
ApplicationCollaboration,RealizationRelationship,ApplicationProcess
ApplicationCollaboration,TriggeringRelationship,ApplicationProcess
ApplicationCollaboration,ServingRelationship,ApplicationProcess
ApplicationCollaboration,FlowRelationship,ApplicationFunction
ApplicationCollaboration,AssignmentRelationship,ApplicationFunction
ApplicationCollaboration,AssociationRelationship,ApplicationFunction
ApplicationCollaboration,RealizationRelationship,ApplicationFunction
ApplicationCollaboration,TriggeringRelationship,ApplicationFunction
ApplicationCollaboration,ServingRelationship,ApplicationFunction
ApplicationCollaboration,FlowRelationship,ApplicationInteraction
ApplicationCollaboration,AssignmentRelationship,ApplicationInteraction
ApplicationCollaboration,AssociationRelationship,ApplicationInteraction
ApplicationCollaboration,RealizationRelationship,ApplicationInteraction
ApplicationCollaboration,TriggeringRelationship,ApplicationInteraction
ApplicationCollaboration,ServingRelationship,ApplicationInteraction
ApplicationCollaboration,FlowRelationship,ApplicationEvent
ApplicationCollaboration,AssignmentRelationship,ApplicationEvent
ApplicationCollaboration,AssociationRelationship,ApplicationEvent
ApplicationCollaboration,RealizationRelationship,ApplicationEvent
